,弹幕内容
0,有
1,握草，厉害了
2,爱死这演唱会了
3,补课
4,中国势不可挡
5,中国红
6,4.3
7,真相只有一个
8,吸吸吸吸
9,中国红
10,我的童年就是再音乐中不断进化！！
11,我要赌爷爷
12,4.2
13,4月3日7点补课的吱一声
14,中国红
15,4.2报道
16,注意这3张4.10.Q！你永远看不背面
17,不用0.5也猜到了 下面有机关
18,刚刚的4.10.Q！这里不让看背面，自己猜为什么
19,应该让李幼斌老师来唱，然后光北老师接一句“”云龙兄别来无恙！”
20,必须红！
21,啊雪莉
22,啊雪莉
23,1·5倍好评
24,啊雪莉
25,啊琴酒
26,此生无悔入华夏
27,啊琴酒
28,劳模琴酒
29,打四份工的男人是我的
30,啊雪莉
31,我的手机铃声
32,啊啊啊啊啊啊
33,害怕
34,害怕
35,害怕
36,害怕
37,我可怜的琴酒
38,琴酒尽力了
39,德玛西亚万岁！
40,提前变色
41,要是能让局座来高低整两句就好了
42,四月二来报道
43,他又瞪我
44,啊啊啊啊啊啊啊
45,啊啊啊啊啊啊
46,啊啊啊啊啊啊啊
47,啊啊啊啊啊啊啊
48,复习
49,补课
50,背后都不透明了，有个板
51,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
52,一哭二跪三忏悔
53,基德老公！！！！！！！！！！！1
54,真的好像竹子
55,4.2
56,变色完毕
57,求科普
58,驻马店第二高级中学报道
59,全体起立！！！
60,全体起立
61,0.5已破案
62,好棒好棒啊啊啊啊啊
63,无畏先锋报道
64,德玛西亚
65,我们是冠军
66,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
67,我们是冠军！！！
68,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
69,b站nb!
70,女王身材真好
71,自动变色
72,中国红必须整起来
73,二傻子
74,好好听！！！
75,给老子红红红红红红红红红
76,给我起立
77,太nb了吧！！！
78,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
79,不悔入华夏！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
80,为什么我的眼里常含泪水，因为我对这土地爱得深沉！！！！！！！！！！！！
81,第一次看，太激动了！
82,哭了啊啊啊啊啊啊啊
83,4.2号补课
84,nbnbnbnbnbnb！
85,给权叔排面
86,童年啊啊啊啊啊啊啊啊！
87,快上车啊啊啊啊啊啊
88,指挥手是不是会挥断掉
89,为了艾欧尼亚
90,补课
91,凡凡！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
92,4.2补课
93,艾欧尼亚，昂扬不灭！
94,人在塔在！
95,三刷
96,啊啊啊啊啊啊啊啊啊
97,我系渣渣辉
98,艾欧尼亚昂扬不灭
99,我累国家
100,乌兹！永远滴神！
101,双面牌
102,大连理工大学
103,大连理工大学~
104,平平仄仄仄 仄平
105,227
106,这是最好的时代，这是最坏的时代
107,中国
108,武汉加油
109,干杯
110,变色！
111,核能警告！
